Date,Open,High,Low,LTP,% Change,Qty,Turnover
2011-03-20,1200,1190,1160,1170,0,853,"1,000,811"
2011-03-24,1162,1178,1150,1153,0,356,"412,649"
2011-03-25,1153,1174,1145,1174,0,702,"807,507"
2011-03-27,1174,1160,1120,1147,0,"1,426","1,619,270"
2011-03-28,1147,1150,1110,1132,0,352,"393,534"
2011-03-29,1132,1120,1050,1097,0,"1,456","1,576,420"
2011-03-30,1097,1076,1030,1040,0,"1,340","1,394,926"
2011-03-31,1040,1109,1020,1082,0,"1,828","1,947,570"
2011-04-04,1082,1099,1064,1099,0,"1,151","1,235,826"
2011-04-05,1099,1100,1079,1100,0,115,"124,295"
2011-04-06,1100,1122,1093,1122,0,248,"273,134"
2011-04-07,1122,1115,1078,1111,0,640,"698,060"
2011-04-10,1111,1115,1071,1115,0,"1,711","1,865,458"
2011-04-11,1115,1112,1070,1112,0,536,"575,640"
2011-04-13,1112,1218,1100,1218,0,389,"435,768"
2011-04-17,1218,1194,1098,1098,0,481,"539,528"
2011-04-18,1098,1086,1055,1086,0,760,"808,830"
2011-04-19,1086,1066,1057,1066,0,"1,303","1,384,936"
2011-04-20,1066,1075,1060,1063,0,"1,240","1,319,397"
2011-04-21,1063,1075,1062,1075,0,451,"480,915"
2011-04-25,1075,1078,1045,1078,0,381,"401,951"
2011-04-27,1078,1081,1055,1081,0,751,"796,565"
2011-04-28,1081,1062,1046,1046,0,"1,023","1,076,480"
2011-05-02,1046,1055,1040,1040,0,754,"785,510"
2011-05-03,1040,1045,1010,1045,0,783,"797,350"
2011-05-04,1045,1039,1010,1019,0,596,"605,805"
2011-05-05,1019,1039,1030,1030,0,126,"130,014"
2011-05-08,1030,1040,1030,1040,0,445,"460,725"
2011-05-09,1040,1045,1040,1040,0,172,"179,240"
2011-05-10,1040,1051,1040,1050,0,"1,060","1,106,006"
2011-05-11,1050,1070,1050,1070,0,804,"849,824"
2011-05-12,1070,1096,1070,1091,0,919,"990,544"
2011-05-15,1091,1155,1112,1155,0,38,"43,057"
2011-05-16,1155,1193,1160,1193,0,156,"183,026"
2011-05-18,1193,1172,1150,1172,0,939,"1,087,972"
2011-05-19,1172,1194,1155,1194,0,490,"573,992"
2011-05-22,1194,1193,1178,1178,0,115,"135,930"
2011-05-23,1178,1189,1165,1170,0,239,"279,927"
2011-05-24,1170,1160,1150,1150,0,282,"325,456"
2011-05-25,1150,1159,1100,1150,0,597,"664,216"
2011-05-26,1150,1149,1127,1149,0,127,"143,553"
2011-05-30,1149,1151,1140,1150,0,320,"366,010"
2011-05-31,1150,1140,1080,1100,0,873,"967,825"
2011-06-01,1100,1122,1060,1080,0,338,"364,480"
2011-06-02,1080,1101,1040,1056,0,"1,912","2,011,952"
2011-06-05,1056,1060,1030,1060,0,665,"691,620"
2011-06-06,1060,1060,1020,1055,0,"1,052","1,104,070"
2011-06-07,1055,1045,1000,1045,0,236,"240,327"
2011-06-08,1045,1025,985,1020,0,"1,212","1,209,779"
2011-06-09,1020,1025,966,1023,0,338,"333,519"
2011-06-12,1023,1003,932,965,0,632,"601,240"
2011-06-13,965,955,903,933,0,"2,673","2,453,922"
2011-06-14,933,915,855,868,0,"1,716","1,520,501"
2011-06-15,868,860,790,817,0,"1,931","1,582,441"
2011-06-16,817,898,803,898,0,"1,980","1,626,616"
2011-06-19,898,987,915,987,0,"1,362","1,334,036"
2011-06-20,898,987,915,987,0,"1,362","1,334,036"
2011-06-21,1085,1193,1106,1193,0,"3,475","4,021,756"
2011-06-23,1193,1312,1216,1310,0,"3,749","4,805,062"
2011-06-26,1310,1375,1179,1228,0,"3,966","5,020,720"
2011-06-27,1228,1219,1106,1106,0,552,"629,914"
2011-06-29,1106,1140,1024,1123,0,"1,583","1,730,151"
2011-06-30,1123,1140,1060,1140,0,"1,898","2,042,371"
2011-07-03,1140,1118,1059,1065,0,863,"929,659"
2011-07-04,1065,1086,1030,1086,0,"3,785","3,945,917"
2011-07-05,1086,1140,1086,1140,0,"1,168","1,284,613"
2011-07-06,1140,1162,1100,1100,0,"1,170","1,321,084"
2011-07-07,1100,1125,1098,1120,0,344,"383,354"
2011-07-10,1120,1150,1135,1140,0,"2,034","2,311,080"
2011-07-11,1140,1164,1130,1160,0,"1,784","2,053,243"
2011-07-12,1160,1240,1180,1190,0,"1,022","1,222,314"
2011-07-13,1190,1260,1190,1190,0,"1,603","1,934,702"
2011-07-14,1190,1252,1213,1252,0,883,"1,083,658"
2011-07-17,1252,1377,1277,1377,0,177,"235,979"
2011-07-18,1377,1410,1258,1283,0,"1,584","2,115,924"
2011-07-19,1283,1321,1285,1321,0,"1,301","1,702,762"
2011-07-20,1321,1373,1326,1356,0,814,"1,095,038"
2011-07-21,1356,1380,1345,1370,0,"1,285","1,742,628"
2011-07-24,1370,1345,1260,1320,0,808,"1,046,020"
2011-07-25,1320,1294,1294,1294,0,59,"76,346"
2011-07-26,1294,1270,1246,1265,0,652,"826,113"
2011-07-27,1265,1294,1245,1294,0,"2,033","2,554,709"
2011-07-28,1294,1305,1276,1289,0,578,"744,984"
2011-07-31,1289,1264,1240,1250,0,539,"674,520"
2011-08-01,1250,1254,1241,1246,0,495,"616,155"
2011-08-02,1246,1270,1242,1266,0,596,"743,514"
2011-08-03,1266,1255,1235,1240,0,665,"824,608"
2011-08-04,1240,1252,1232,1252,0,114,"140,848"
2011-08-09,1252,1227,1180,1182,0,740,"878,783"
2011-08-10,1182,1234,1160,1234,0,"1,124","1,316,070"
2011-08-11,1234,1255,1220,1220,0,115,"141,748"
2011-08-15,1220,1241,1210,1225,0,"1,476","1,800,766"
2011-08-16,1225,1230,1205,1225,0,"1,028","1,254,931"
2011-08-17,1225,1231,1210,1231,0,645,"787,804"
2011-08-18,1231,1230,1220,1224,0,321,"393,132"
2011-08-22,1224,1220,1211,1211,0,104,"126,430"
2011-08-23,1211,1210,1200,1200,0,425,"511,260"
2011-08-24,1200,1207,1190,1190,0,564,"676,062"
2011-08-25,1190,1180,1175,1180,0,403,"474,435"
2011-08-28,1180,1157,1062,1062,0,100,"108,720"
2011-08-29,1062,1041,956,956,0,863,"827,348"
2011-08-30,956,992,934,992,0,"8,063","7,668,660"
2011-09-01,992,999,974,990,0,"1,614","1,588,177"
2011-09-04,990,980,970,975,0,841,"818,075"
2011-09-05,975,970,953,954,0,"1,249","1,201,341"
2011-09-06,954,955,917,917,0,"1,811","1,681,199"
2011-09-07,917,920,900,903,0,824,"745,124"
2011-09-08,903,901,882,885,0,"1,387","1,237,881"
2011-09-12,885,899,875,897,0,451,"397,532"
2011-09-13,897,947,905,947,0,224,"205,568"
2011-09-14,947,929,904,910,0,961,"876,470"
2011-09-15,910,925,910,925,0,159,"145,380"
2011-09-18,925,907,890,900,0,477,"426,300"
2011-09-19,900,918,900,918,0,830,"753,294"
2011-09-20,918,940,907,940,0,215,"198,965"
2011-09-21,940,950,925,950,0,275,"257,730"
2011-09-22,950,969,955,960,0,308,"295,815"
2011-09-25,960,960,941,941,0,224,"214,404"
2011-09-26,941,959,950,950,0,200,"190,900"
2011-09-27,950,949,940,940,0,550,"519,200"
2011-09-29,940,959,955,955,0,434,"415,500"
2011-10-02,955,980,974,980,0,272,"265,216"
2011-10-13,980,982,975,982,0,587,"572,737"
2011-10-16,982,998,970,970,0,283,"275,790"
2011-10-17,970,965,948,948,0,686,"654,440"
2011-10-18,948,966,945,950,0,330,"313,260"
2011-10-19,950,960,927,931,0,403,"378,670"
2011-10-20,931,939,902,939,0,"1,328","1,214,499"
2011-10-23,939,935,915,915,0,302,"278,945"
2011-10-24,915,915,881,901,0,565,"502,579"
2011-10-25,901,915,850,915,0,"1,637","1,443,364"
2011-10-30,915,900,900,900,0,25,"22,500"
2011-10-31,900,907,899,907,0,366,"330,460"
2011-11-02,907,997,925,996,0,"1,447","1,404,378"
2011-11-03,996,1015,930,930,0,"1,243","1,195,200"
2011-11-06,930,930,900,901,0,"1,337","1,211,267"
2011-11-08,901,901,885,892,0,605,"540,154"
2011-11-09,892,896,890,890,0,870,"775,460"
2011-11-10,890,890,880,880,0,391,"345,380"
2011-11-13,880,870,866,870,0,145,"125,690"
2011-11-14,870,887,866,867,0,553,"480,114"
2011-11-16,867,875,875,875,0,300,"262,500"
2011-11-17,875,909,892,909,0,24,"21,646"
2011-11-20,909,900,880,885,0,525,"463,490"
2011-11-21,885,880,870,870,0,120,"105,400"
2011-11-22,870,871,862,870,0,911,"790,316"
2011-11-23,870,865,865,865,0,147,"127,155"
2011-11-24,865,865,860,860,0,153,"132,100"
2011-11-27,860,887,865,887,0,239,"207,657"
2011-11-28,887,872,870,872,0,135,"117,516"
2011-12-01,865,887,870,870,0,264,"231,280"
2011-12-04,870,870,857,857,0,960,"824,077"
2011-12-05,857,850,850,850,0,150,"127,500"
2011-12-06,850,850,848,850,0,342,"290,308"
2011-12-07,850,855,838,843,0,589,"495,721"
2011-12-08,843,840,840,840,0,320,"268,800"
2011-12-11,840,860,823,823,0,"1,022","853,008"
2011-12-12,823,807,791,793,0,"1,189","945,661"
2011-12-13,793,795,781,790,0,"1,393","1,098,539"
2011-12-14,790,821,790,821,0,292,"234,552"
2011-12-15,821,810,794,809,0,"1,751","1,400,592"
2011-12-19,809,805,800,801,0,439,"351,995"
2011-12-20,801,800,799,800,0,506,"404,742"
2011-12-21,800,825,782,805,0,"1,322","1,045,886"
2011-12-22,805,808,790,796,0,"1,572","1,246,771"
2011-12-26,796,800,795,797,0,539,"430,705"
2011-12-27,797,827,782,827,0,704,"563,202"
2011-12-28,827,836,796,836,0,"1,316","1,065,216"
2011-12-29,836,873,820,873,0,840,"690,370"
2012-01-01,873,879,851,879,0,799,"684,720"
2012-01-02,879,913,882,900,0,"1,002","897,160"
