Date,Open,High,Low,LTP,% Change,Qty,Turnover
2019-05-16,385,385,380,382,-1.29,"48,836","18,672,588"
2019-05-15,388,392,385,387,-0.26,"81,993","31,889,297"
2019-05-14,381,388,380,388,1.84,"76,797","29,516,927"
2019-05-13,378,381,378,381,0,"21,419","8,139,023"
2019-05-12,375,382,375,381,0.26,"22,299","8,475,307"
2019-05-09,384,385,376,380,-0.78,"98,484","37,627,165"
2019-05-08,383,386,382,383,-1.03,"28,675","10,991,099"
2019-05-07,385,391,385,387,0.26,"68,794","26,669,641"
2019-05-06,382,386,374,386,2.66,"81,644","31,094,557"
2019-05-05,385,385,375,376,-1.83,"56,175","21,217,418"
2019-05-02,381,386,379,383,-0.78,"42,074","16,095,915"
2019-04-30,386,390,380,386,0,"42,185","16,221,194"
2019-04-29,383,391,383,386,-0.77,"76,279","29,603,282"
2019-04-28,394,398,389,389,-1.77,"135,953","53,290,232"
2019-04-25,390,400,390,396,1.54,"134,958","53,415,695"
2019-04-24,380,391,380,390,2.63,"102,457","39,599,256"
2019-04-23,383,386,378,380,-0.52,"76,009","29,060,266"
2019-04-22,388,389,377,382,-1.55,"92,343","35,433,686"
2019-04-21,385,390,379,388,0.78,"96,067","36,966,235"
2019-04-18,389,390,384,385,-1.03,"93,648","36,132,167"
2019-04-17,377,390,373,389,3.18,"189,582","72,615,151"
2019-04-16,360,377,360,377,4.14,"185,038","68,919,522"
2019-04-15,356,362,356,362,1.69,"45,727","16,428,148"
2019-04-11,355,358,352,356,0.28,"86,342","30,708,584"
2019-04-10,351,357,347,355,1.14,"72,189","25,281,172"
2019-04-09,364,364,351,351,-1.68,"95,391","33,851,335"
2019-04-08,353,364,346,357,2.29,"152,538","54,201,655"
2019-04-07,337,352,335,349,3.87,"96,825","33,174,930"
2019-04-04,337,339,334,336,-0.59,"37,453","12,600,385"
2019-04-03,336,340,331,338,0.9,"63,376","21,420,896"
2019-04-02,333,339,332,335,1.21,"80,947","27,159,192"
2019-04-01,323,332,323,331,0.91,"49,552","16,359,410"
2019-03-31,327,330,326,328,0.31,"16,376","5,356,491"
2019-03-28,324,327,324,327,0.62,"26,581","8,646,525"
2019-03-27,325,326,323,325,0,"29,980","9,737,627"
2019-03-26,319,327,319,325,0.93,"29,747","9,644,794"
2019-03-25,321,325,317,322,1.26,"13,920","4,483,894"
2019-03-24,317,324,317,318,-0.93,"24,543","7,848,845"
2019-03-21,322,325,321,321,-0.31,"12,394","3,994,013"
2019-03-19,325,330,322,322,-0.92,"7,431","2,414,089"
2019-03-18,325,329,323,325,-0.31,"29,983","9,799,513"
2019-03-17,325,328,325,326,0.31,"28,877","9,420,348"
2019-03-14,321,326,319,325,0.31,"27,872","8,998,977"
2019-03-13,328,330,319,324,-0.31,"44,594","14,494,255"
2019-03-12,323,327,320,325,0.93,"39,242","12,731,960"
2019-03-11,320,322,316,322,1.26,"30,794","9,839,441"
2019-03-10,317,320,311,318,0.95,"15,296","4,811,440"
2019-03-07,308,315,307,315,2.94,"18,431","5,729,608"
2019-03-06,306,308,304,306,0,"37,701","11,546,131"
2019-03-05,307,307,303,306,-0.33,"25,718","7,864,053"
2019-03-03,302,307,302,307,1.32,"31,553","9,603,243"
2019-02-27,303,307,302,303,-0.33,"33,696","10,229,368"
2019-02-26,302,305,302,304,0.66,"19,594","5,956,166"
2019-02-25,302,306,300,302,0,"22,112","6,685,844"
2019-02-24,301,307,300,302,0.33,"23,498","7,092,195"
2019-02-21,308,308,301,301,-1.31,"21,119","6,422,750"
2019-02-20,310,310,305,305,-1.29,"19,783","6,052,757"
2019-02-19,308,309,305,309,0.98,"12,380","3,800,233"
2019-02-18,309,309,304,306,-0.97,"34,435","10,563,087"
2019-02-17,309,311,306,309,0.32,"23,812","7,326,226"
2019-02-14,310,311,307,308,-0.96,"30,824","9,480,102"
2019-02-13,312,317,309,311,0,"17,557","5,481,991"
2019-02-12,313,313,310,311,0,"15,882","4,931,704"
2019-02-11,308,314,307,311,0.32,"26,558","8,252,639"
2019-02-10,312,314,310,310,-0.96,"22,620","7,049,837"
2019-02-07,312,315,312,313,0.32,"16,558","5,197,766"
2019-02-06,315,317,312,312,-0.95,"20,208","6,343,191"
2019-02-05,314,317,312,315,-0.32,"26,733","8,434,334"
2019-02-04,315,318,314,316,0,"19,122","6,028,647"
2019-02-03,316,319,315,316,-0.32,"42,639","13,485,227"
2019-01-31,317,318,316,317,0,"9,956","3,157,109"
2019-01-30,316,317,315,317,0.32,"12,242","3,875,329"
2019-01-29,316,318,315,316,-0.32,"12,095","3,825,075"
2019-01-28,320,320,316,317,0.32,"26,798","8,477,954"
2019-01-27,323,323,315,316,-0.94,"32,446","10,272,044"
2019-01-24,322,322,317,319,-0.31,"19,202","6,137,403"
2019-01-23,318,320,318,320,0.95,"14,725","4,695,167"
2019-01-22,319,323,317,317,-0.63,"28,442","9,062,828"
2019-01-21,321,323,318,319,-0.62,"19,465","6,228,355"
2019-01-20,321,323,320,321,-0.93,"3,310","1,064,505"
2019-01-17,323,324,321,324,0.31,"8,437","2,724,312"
2019-01-16,325,328,322,323,-0.62,"15,916","5,166,418"
2019-01-15,329,329,325,325,0,"8,855","2,898,640"
2019-01-14,326,326,322,325,-0.31,"16,856","5,461,244"
2019-01-13,321,326,321,326,0.31,"13,010","4,217,355"
2019-01-10,326,328,325,325,-0.31,"19,545","6,372,928"
2019-01-09,330,330,326,326,0,"10,488","3,431,475"
2019-01-08,328,329,324,326,0.62,"20,069","6,528,402"
2019-01-07,315,325,315,324,1.57,"15,486","4,986,555"
2019-01-06,324,324,318,319,-1.24,"13,603","4,345,590"
2019-01-03,323,325,321,323,0.94,"19,534","6,310,975"
2019-01-02,323,329,320,320,-1.54,"31,098","9,982,843"
2019-01-01,328,332,325,325,-1.22,"21,531","7,039,287"
2018-12-31,332,335,329,329,-1.79,"41,159","13,644,235"
2018-12-30,337,339,333,335,-0.59,"24,462","8,184,123"
2018-12-27,345,345,335,337,-1.75,"47,419","16,088,195"
2018-12-26,337,347,335,343,2.08,"56,139","19,178,373"
2018-12-25,365,365,335,336,-4.49662,"68,089","23,110,103"
