date,recovered,deaths,confirmed
2020-01-22,28,17,555
2020-01-23,30,18,653
2020-01-24,36,26,941
2020-01-25,39,42,1434
2020-01-26,52,56,2118
2020-01-27,61,82,2927
2020-01-28,107,131,5578
2020-01-29,126,133,6166
2020-01-30,143,171,8234
2020-01-31,222,213,9927
2020-02-01,284,259,12038
2020-02-02,472,362,16787
2020-02-03,623,426,19881
2020-02-04,852,492,23892
2020-02-05,1124,564,27635
2020-02-06,1487,634,30817
2020-02-07,2011,719,34391
2020-02-08,2616,806,37120
2020-02-09,3244,906,40150
2020-02-10,3946,1013,42762
2020-02-11,4683,1113,44802
2020-02-12,5150,1118,45221
2020-02-13,6295,1371,60368
2020-02-14,8058,1523,66885
2020-02-15,9395,1666,69030
2020-02-16,10865,1770,71224
2020-02-17,12583,1868,73258
2020-02-18,14352,2007,75136
2020-02-19,16121,2122,75639
2020-02-20,18177,2247,76197
2020-02-21,18890,2251,76823
2020-02-22,22886,2458,78579
2020-02-23,23394,2469,78965
2020-02-24,25227,2629,79568
2020-02-25,27905,2708,80413
2020-02-26,30384,2770,81395
2020-02-27,33277,2814,82754
2020-02-28,36711,2872,84120
2020-02-29,39782,2941,86011
2020-03-01,42716,2996,88369
2020-03-02,45602,3085,90306
2020-03-03,48228,3160,92840
2020-03-04,51170,3254,95120
2020-03-05,53796,3348,97882
2020-03-06,55865,3460,101784
2020-03-07,58358,3558,105821
2020-03-08,60694,3802,109795
2020-03-09,62494,3988,113561
2020-03-10,64404,4262,118592
2020-03-11,67003,4615,125865
2020-03-12,68324,4720,128343
2020-03-13,70251,5404,145193
2020-03-14,72624,5819,156097
2020-03-15,76034,6440,167449
