date,deaths,confirmed,recovered
1/22/20,17,557,30
1/23/20,18,655,32
1/24/20,26,941,39
1/25/20,42,1433,42
1/26/20,56,2118,56
1/27/20,82,2927,65
1/28/20,131,5578,108
1/29/20,133,6167,127
1/30/20,171,8235,145
1/31/20,213,9927,225
2/1/20,259,12038,287
2/2/20,362,16787,476
2/3/20,426,19887,627
2/4/20,492,23898,857
2/5/20,564,27643,1129
2/6/20,634,30803,1492
2/7/20,719,34396,2016
2/8/20,806,37130,2616
2/9/20,906,40160,3245
2/10/20,1013,42769,3947
2/11/20,1113,44811,4684
2/12/20,1118,45229,5151
2/13/20,1371,60382,6294
2/14/20,1523,66909,8057
2/15/20,1666,69052,9396
2/16/20,1770,71235,10866
2/17/20,1868,73270,12583
2/18/20,2008,75152,14352
2/19/20,2123,75652,16121
2/20/20,2248,76212,18179
2/21/20,2252,76841,18892
2/22/20,2459,78602,22889
2/23/20,2470,78982,23394
2/24/20,2630,79546,25227
2/25/20,2710,80399,27905
2/26/20,2771,81376,30386
2/27/20,2814,82736,33278
2/28/20,2873,84122,36710
2/29/20,2942,86013,39781
3/1/20,2996,88394,42717
3/2/20,3085,90377,45601
3/3/20,3160,92971,48227
3/4/20,3255,95279,51169
3/5/20,3349,98090,53795
3/6/20,3460,102003,55863
3/7/20,3564,106098,58357
3/8/20,3803,110047,60694
3/9/20,3993,114219,62493
3/10/20,4267,119041,64400
3/11/20,4611,126702,66998
3/12/20,4917,132492,68321
3/13/20,5414,146876,70248
3/14/20,5834,157950,72620
3/15/20,6475,169219,76031
3/16/20,7153,184027,78086
3/17/20,7966,199970,80830
3/18/20,8871,219534,83316
3/19/20,9982,246583,84958
3/20/20,11464,277358,87403
3/21/20,13182,309349,91650
3/22/20,14857,344205,97868
3/23/20,16801,387040,98337
3/24/20,19089,428219,107977
3/25/20,21892,479220,113758
3/26/20,24920,542097,122132
3/27/20,28407,607138,130917
3/28/20,32130,674418,139430
3/29/20,35617,733655,148888
3/30/20,39682,798949,164225
3/31/20,44436,875794,177819
4/1/20,50412,958586,193096
4/2/20,56283,1041649,210243
4/3/20,62420,1125200,225672
4/4/20,68318,1183589,246086
4/5/20,73472,1256181,259927
4/6/20,79395,1329324,276644
4/7/20,87652,1399153,299915
4/8/20,94446,1482508,328805
4/9/20,102233,1569527,354076
4/10/20,109635,1655062,375836
4/11/20,115812,1729373,402127
4/12/20,121617,1849067,421528
4/13/20,127536,1919799,448802
4/14/20,134514,2003766,473879
4/15/20,142973,2080914,510452
4/16/20,150249,2176465,541367
4/17/20,158624,2264462,567551
4/18/20,164769,2341702,591431
4/19/20,169969,2418307,623201
4/20/20,175807,2494325,645364
4/21/20,183104,2570074,680167
4/22/20,189936,2651321,710269
4/23/20,196764,2735570,738990
4/24/20,203506,2819666,789016
4/25/20,209129,2901924,816784
4/26/20,213059,2973512,845533
4/27/20,217761,3043704,873384
4/28/20,224339,3119244,906575
4/29/20,231165,3196354,948621
4/30/20,237214,3279849,1013707
5/1/20,242344,3368225,1051859
5/2/20,247813,3447425,1092496
5/3/20,251252,3523798,1124992
5/4/20,255409,3601487,1159052
5/5/20,261277,3681989,1195524
5/6/20,267817,3772016,1241640
5/7/20,273117,3860723,1281136
5/8/20,278655,3951001,1317552
5/9/20,282944,4036224,1371019
5/10/20,286436,4111200,1404817
5/11/20,289880,4187831,1451694
5/12/20,295384,4272321,1488760
5/13/20,300531,4357301,1544632
5/14/20,305685,4453532,1584306
5/15/20,310908,4549264,1632391
5/16/20,315158,4643703,1688798
5/17/20,318287,4721725,1729800
5/18/20,321999,4810892,1782698
5/19/20,326691,4907667,1834745
5/20/20,331484,5009545,1893735
5/21/20,336165,5116189,1944967
5/22/20,341437,5222610,2053519
