,year,gdp_ppp_wb,broad_money,exports,imports,consumer_price_index_2010_100,ease_of_doing_business,inflation,population,total_reserves_in_months_of_import,unemployment_labor_force,total_reserve_gold_also,debt_gdp_ratio
0,1960,,209600000.0,,,,,,10105060.0,,,19273663.6,
1,1961,,256300000.0,,,,,,10267260.0,,,24149979.65,
2,1962,,266700000.0,,,,,,10433147.0,,,24045769.17,
3,1963,,335100000.0,,,,,,10604620.0,,,36256169.6,
4,1964,,418600000.0,,,2.96946523316725,,,10783958.0,,,49119654.4,
5,1965,,525400000.0,435000000.0,780000000.0,3.22103444747537,,8.47186932846468,10972912.0,,,59519654.4,
6,1966,,555900000.0,390000000.0,605000000.0,3.68450814993644,,14.3889706868656,11172530.0,,,44983566.82,
7,1967,,601600000.0,441000000.0,446000000.0,3.5810349512398,,-2.80833138334688,11382965.0,,,46384505.6,
8,1968,,718000000.0,491000000.0,538000000.0,3.6232865073772,,1.17986997370045,11603921.0,,,65316279.5,
9,1969,,922400000.0,560000000.0,816000000.0,3.77030467717114,,4.05759162281558,11834657.0,,,83753427.2,
10,1970,,921300000.0,430000000.0,728000000.0,4.34479649905792,,15.2372784450359,12074628.0,,,94202508.28,1.77686
11,1971,,1097700000.0,483000000.0,816000000.0,4.25792212599278,,-1.99950384520828,12323984.0,,,102268064.826314,3.0791
12,1972,,1282900000.0,587000000.0,821000000.0,4.61512023062824,,8.3890238963018,12583142.0,,,107173201.631387,3.78001
13,1973,,1643800000.0,659000000.0,1034000000.0,5.14261797478399,,11.42977252586,12852205.0,,,132121706.911687,6.57651
14,1974,,1924900000.0,698000000.0,1351000100.0,6.16118227436276,,19.8063380280849,13131260.0,,,145577564.317539,6.80078
15,1975,,2159800000.0,1475000100.0,2215000100.0,6.62856865067454,,7.58598521352967,13420367.0,,,113974569.075979,8.18599
16,1976,,2774400000.0,1874000000.0,2465999900.0,6.42220568283727,,-3.11323573327195,13719466.0,8.76743346210768,,145042574.241468,11.9413
17,1977,,3358700000.0,2036999900.0,2473999900.0,7.05793037266478,,9.89885284313485,14028535.0,9.10995509676563,,161385891.190902,15.6487
18,1978,,4017200000.0,2086000000.0,3052999900.0,7.57641237826099,,7.34609125083294,14347653.0,7.66392134398543,,178077053.551357,14.8002
19,1979,,4662200000.0,2617999900.0,3547000100.0,7.84654586018423,,3.56545378520239,14676932.0,8.59364718678158,,235268995.169785,15.596
20,1980,,5479100000.0,2695000100.0,4374000100.0,8.99877210487267,,14.6845027763768,15016408.0,7.79642283390922,,271948973.975296,18.1922
21,1981,,6520400000.0,3523000100.0,5357000200.0,10.001672363226,,11.1448567278443,15367229.0,6.84355505968776,,262066241.979069,21.1702
22,1982,,7887000000.0,3592000000.0,5827999700.0,11.1717226646585,,11.6985465924139,15729431.0,6.52221156219873,,268378933.907406,26.9667
23,1983,,9475200000.0,3454000100.0,7196000300.0,12.5544733763075,,12.3772380782713,16100623.0,4.10419507187944,,191064674.082263,32.7572
24,1984,,10726000000.0,4196000000.0,7661000200.0,12.9117466911014,,2.84578495716263,16477488.0,3.04161062250305,,128600057.717553,39.3114
25,1985,,12913600000.0,5370999800.0,9317000200.0,13.9514833333358,,8.0526412661963,16858315.0,2.24541813501376,,105467401.731107,41.1418
26,1986,,15411600000.0,6498700000.0,11313500000.0,16.6021186133464,,18.9989495502395,17239677.0,3.16100932866268,,145886828.505027,41.9234
27,1987,,18867100000.0,7544430000.0,13351800000.0,18.3869008266986,,10.750328044985,17623697.0,4.63940297476341,,251413397.249862,47.7512
28,1988,,23052400000.0,8803560000.0,17213000000.0,20.0385967498225,,8.98300338208987,18020755.0,4.08844394928219,,282826477.677814,47.1439
29,1989,,27882100000.0,9879940000.0,19892100000.0,21.8113887430962,,8.84688691232553,18445021.0,4.5079336870987,,272846716.111809,53.3397
30,1990,858.938993167607,33108100000.0,10886922000.0,22401400000.0,23.6085818230517,,8.2397003745321,18905480.0,5.02784885435734,,354107095.132094,58.0069
31,1991,920.196529839947,40631500000.0,14225665000.0,28702400000.0,27.2814758270693,,15.5574529276948,19405506.0,5.6547910156423,1.76600003242493,450982959.605705,59.4106
32,1992,953.631319758758,48961900000.0,24372800000.0,39302100000.0,31.9601189691023,,17.149523624344,19938322.0,6.25869652782569,1.70700001716614,518336213.56105,65.9676
33,1993,986.524199629557,61211600000.0,32383400000.0,50520200000.0,34.3588518816048,,7.50539419087102,20489973.0,7.405495875848,1.71599996089935,699898113.279624,66.148
34,1994,1061.82444736484,72220300000.0,37849600000.0,62647400000.0,37.2275709419353,,8.34928672883387,21040899.0,6.0725084271272,1.88699996471405,752158918.905465,64.6149
35,1995,1093.86845643716,83363000000.0,54734921200.0,75653422500.0,40.065417323029,,7.62296950698166,21576074.0,4.66944397920879,1.73800003528595,645536746.146163,63.4171
36,1996,1145.93442617779,93534900000.0,56795910800.0,88713075000.0,43.7596357549729,,9.22046662376983,22090352.0,4.25722590527228,1.82099997997284,627771666.021696,61.0533
37,1997,1198.48969182851,121168226343.2,73853000000.0,105775000000.0,45.5143921624383,,4.00998860523182,22584772.0,4.13729042628424,1.8309999704361,670587740.146122,58.5853
38,1998,1222.91937961644,134716500000.0,68659000000.0,101949000000.0,50.6322433252537,,11.2444677818614,23057875.0,6.56961462358199,1.78100001811981,800272085.381315,63.0542
39,1999,1270.40834483511,163923526343.2,78150000000.0,101648000000.0,54.4049087921727,,7.4511126095755,23509971.0,6.15144721774418,1.85000002384186,889429673.443094,67.6162
40,2000,1354.49523634581,194815759357.75,88360000000.0,123055000000.0,55.7535086649626,,2.47882020709133,23941099.0,6.49127474402049,1.85500001907349,987342047.009884,57.9311634748381
41,2001,1426.45437388067,227496620000.0,99610000000.0,146757000000.0,57.2523323210508,,2.6883037354563,24347113.0,7.3665905522713,1.74600005149841,1079959913.87279,57.9068292141288
42,2002,1428.54947569054,233546135000.0,81492000000.0,130911800000.0,58.9867341827655,,3.02939948714895,24725625.0,7.40748968632559,1.5440000295639,1070003807.33951,59.103265630911
43,2003,1491.05904679104,257408928303.0,77279600000.0,140522200000.0,62.3531125994007,,5.70700931874738,25080880.0,7.71309551906273,1.59500002861023,1286240899.83775,60.4255285255262
44,2004,1581.55906917053,291091085026.42,89544200000.0,158150900000.0,64.1250704069399,,2.84181131248977,25419337.0,7.73890770780443,1.55400002002716,1529099985.77965,58.5423879497558
45,2005,1666.24845791235,319453796795.0,85958000000.0,173754300000.0,68.5088735377306,,6.83633265892876,25744500.0,6.70143423450656,1.45799994468689,1565203519.98396,51.9257710445457
46,2006,1752.4997982394,373713088927.0,87952000000.0,204829000000.0,73.2499176441865,,6.92033580707588,26066687.0,7.66549847116562,1.39300000667572,1935487672.74692,49.5465319323796
47,2007,1838.68764767773,442956865100.0,93567000000.0,230893000000.0,74.9121188718688,,2.26921924439076,26382586.0,6.45735169197997,1.3309999704361,2014032856.18907,43.2137992410888
