Approx Date,Approx Closing Price,
1/29/1998,170,
1/30/1998,174,
1/30/1998,172,
1/31/1998,176,
2/5/1998,176,
2/9/1998,177,
2/11/1998,178,
2/15/1998,178,
2/19/1998,180,
2/24/1998,180,
2/25/1998,178,
2/25/1998,176,
2/25/1998,175,
2/25/1998,173,
2/25/1998,171,
2/27/1998,169,
3/3/1998,170,
3/3/1998,168,
3/5/1998,165,
3/7/1998,166,
3/12/1998,167,
3/17/1998,165,
3/23/1998,166,
3/24/1998,164,
3/27/1998,160,
3/27/1998,159,
3/31/1998,158,
4/5/1998,157,
4/10/1998,156,
4/16/1998,156,
4/21/1998,156,
4/25/1998,157,
4/29/1998,159,
5/4/1998,160,
5/8/1998,161,
5/11/1998,163,
5/13/1998,164,
5/17/1998,165,
5/21/1998,166,
5/24/1998,165,
5/25/1998,163,
5/31/1998,162,
6/5/1998,163,
6/9/1998,163,
6/10/1998,161,
6/16/1998,160,
6/20/1998,160,
6/23/1998,162,
6/27/1998,184,
6/27/1998,182,
6/27/1998,180,
6/27/1998,179,
6/27/1998,177,
6/27/1998,175,
6/27/1998,174,
6/27/1998,172,
6/27/1998,170,
6/27/1998,169,
6/27/1998,167,
6/27/1998,165,
6/27/1998,164,
6/27/1998,162,
6/30/1998,226,
6/30/1998,224,
6/30/1998,222,
6/30/1998,221,
6/30/1998,219,
6/30/1998,217,
6/30/1998,216,
6/30/1998,214,
6/30/1998,212,
6/30/1998,211,
6/30/1998,209,
6/30/1998,207,
6/30/1998,206,
6/30/1998,204,
6/30/1998,202,
6/30/1998,201,
6/30/1998,199,
6/30/1998,197,
6/30/1998,196,
6/30/1998,194,
6/30/1998,192,
6/30/1998,191,
7/3/1998,183,
7/3/1998,181,
7/3/1998,180,
7/3/1998,178,
7/3/1998,176,
7/3/1998,175,
7/3/1998,173,
7/3/1998,171,
7/3/1998,170,
7/3/1998,168,
7/3/1998,165,
7/3/1998,163,
7/4/1998,166,
7/9/1998,166,
7/15/1998,166,
7/20/1998,166,
7/25/1998,166,
7/31/1998,166,
8/5/1998,167,
8/10/1998,168,
8/16/1998,168,
8/21/1998,166,
8/26/1998,167,
8/31/1998,168,
9/6/1998,169,
9/10/1998,170,
9/12/1998,172,
9/15/1998,174,
9/18/1998,179,
9/18/1998,177,
9/18/1998,176,
9/20/1998,181,
9/24/1998,183,
9/28/1998,183,
10/1/1998,186,
10/1/1998,185,
10/4/1998,188,
10/8/1998,190,
10/10/1998,192,
10/16/1998,192,
10/18/1998,190,
10/23/1998,190,
10/25/1998,188,
10/29/1998,187,
11/3/1998,187,
11/9/1998,188,
11/12/1998,189,
11/12/1998,187,
11/12/1998,185,
11/12/1998,184,
11/12/1998,182,
11/12/1998,180,
11/12/1998,179,
11/12/1998,177,
11/12/1998,174,
11/14/1998,175,
11/18/1998,176,
11/22/1998,178,
11/27/1998,181,
12/2/1998,181,
12/8/1998,182,
12/13/1998,180,
12/18/1998,178,
12/24/1998,178,
12/26/1998,177,
12/31/1998,179,
1/6/1999,179,
1/11/1999,179,
1/16/1999,178,
1/22/1999,178,
1/26/1999,179,
1/28/1999,181,
2/1/1999,184,
2/7/1999,184,
2/12/1999,186,
2/13/1999,183,
2/15/1999,185,
2/20/1999,186,
2/24/1999,186,
2/25/1999,187,
3/1/1999,190,
3/1/1999,188,
3/4/1999,192,
3/5/1999,193,
3/10/1999,192,
3/14/1999,192,
3/14/1999,191,
3/17/1999,193,
3/21/1999,196,
3/25/1999,195,
3/29/1999,197,
4/2/1999,198,
4/6/1999,200,
4/10/1999,203,
4/13/1999,206,
4/13/1999,204,
4/15/1999,208,
4/18/1999,209,
4/21/1999,210,
4/25/1999,212,
4/30/1999,212,
5/1/1999,214,
5/4/1999,223,
5/4/1999,221,
5/4/1999,220,
5/4/1999,218,
5/4/1999,217,
5/6/1999,226,
5/6/1999,225,
5/9/1999,230,
5/9/1999,228,
5/11/1999,231,
5/14/1999,227,
5/14/1999,226,
5/17/1999,221,
5/17/1999,220,
5/17/1999,218,
5/17/1999,216,
5/17/1999,215,
5/17/1999,214,
5/21/1999,212,
5/26/1999,212,
5/30/1999,213,
6/2/1999,216,
6/5/1999,217,
6/7/1999,222,
6/7/1999,221,
6/7/1999,219,
6/10/1999,224,
6/13/1999,226,
6/14/1999,227,
6/19/1999,226,
6/21/1999,223,
6/22/1999,224,
6/26/1999,226,
6/30/1999,227,
7/5/1999,228,
7/10/1999,228,
7/16/1999,229,
7/21/1999,230,
7/26/1999,231,
7/30/1999,232,
8/2/1999,234,
8/5/1999,236,
8/7/1999,238,
8/10/1999,239,
8/13/1999,242,
8/15/1999,244,
8/15/1999,243,
8/19/1999,245,
8/22/1999,246,
8/26/1999,245,
8/30/1999,244,
9/3/1999,244,
9/4/1999,245,
9/8/1999,246,
9/11/1999,247,
9/13/1999,249,
9/16/1999,252,
9/17/1999,254,
9/23/1999,255,
9/27/1999,255,
10/1/1999,256,
10/2/1999,257,
10/6/1999,259,
10/10/1999,261,
10/13/1999,260,
10/15/1999,257,
10/17/1999,258,
10/21/1999,257,
10/25/1999,255,
10/28/1999,252,
10/31/1999,254,
11/1/1999,256,
11/5/1999,258,
11/9/1999,260,
11/15/1999,261,
11/19/1999,262,
11/21/1999,265,
11/24/1999,267,
11/24/1999,266,
11/28/1999,270,
12/2/1999,274,
12/2/1999,272,
12/2/1999,271,
12/5/1999,275,
12/6/1999,277,
12/12/1999,276,
12/15/1999,275,
12/15/1999,274,
12/18/1999,276,
12/21/1999,277,
12/23/1999,279,
12/26/1999,283,
12/26/1999,282,
12/27/1999,285,
12/28/1999,287,
12/30/1999,293,
12/30/1999,291,
12/30/1999,290,
12/30/1999,288,
12/31/1999,301,
12/31/1999,299,
12/31/1999,298,
12/31/1999,296,
1/3/2000,293,
1/3/2000,291,
1/4/2000,294,
1/7/2000,296,
1/8/2000,302,
1/8/2000,300,
1/8/2000,298,
1/11/2000,311,
1/11/2000,309,
1/11/2000,308,
1/12/2000,306,
1/13/2000,304,
1/16/2000,308,
1/16/2000,307,
1/19/2000,322,
1/19/2000,320,
1/19/2000,318,
1/19/2000,317,
1/19/2000,315,
1/19/2000,313,
1/19/2000,312,
1/21/2000,334,
1/21/2000,333,
1/21/2000,331,
1/21/2000,329,
1/23/2000,327,
1/24/2000,325,
1/24/2000,324,
1/27/2000,328,
1/28/2000,330,
2/1/2000,328,
2/4/2000,326,
2/4/2000,324,
2/4/2000,323,
2/6/2000,320,
2/6/2000,319,
2/9/2000,316,
2/11/2000,318,
2/14/2000,322,
2/14/2000,321,
2/17/2000,324,
2/18/2000,326,
2/21/2000,329,
2/26/2000,337,
2/26/2000,335,
2/26/2000,333,
2/26/2000,332,
2/27/2000,346,
2/27/2000,344,
2/27/2000,343,
2/27/2000,341,
2/27/2000,339,
3/1/2000,331,
3/2/2000,333,
3/6/2000,339,
3/6/2000,337,
3/6/2000,335,
3/6/2000,333,
3/9/2000,347,
3/9/2000,345,
