symbol,sector,market_cap,change
NMBD2085,Corporate Debenture,0,0.0
HBLD83,Corporate Debenture,0,0.0
LBLD86,Corporate Debenture,0,0.0
NBLD82,Corporate Debenture,0,0.0
SBIBD86,Corporate Debenture,0,0.0
NICAD 85/86,Corporate Debenture,0,0.0
PBLD84,Corporate Debenture,0,2.0
SAND2085,Corporate Debenture,2010000000,-1.37
SRD80,Corporate Debenture,1000000000,-1.37
CIZBD86,Corporate Debenture,0,-1.37
GBD80/81,Corporate Debenture,105167263200,-1.37
KBLD86,Corporate Debenture,0,-1.37
MBLD2085,Corporate Debenture,0,-1.37
NBBD2085,Corporate Debenture,0,-2.0
NICD83/84,Corporate Debenture,0,2.0
PBLD86,Corporate Debenture,0,2.0
SBLD83,Corporate Debenture,0,2.0
SRBLD83,Corporate Debenture,0,0.0
ADBLD83,Corporate Debenture,0,0.0
NIBD2082,Corporate Debenture,0,0.99
SBLD2082,Corporate Debenture,0,0.99
NICAD8283,Corporate Debenture,0,-0.94
GWFD83,Corporate Debenture,0,-0.86
ICFCD83,Corporate Debenture,0,-0.86
ADBLB,Corporate Debenture,0,-0.86
BOKD2079,Corporate Debenture,0,-0.86
EBLD2078,Corporate Debenture,0,-0.86
LBLD88,Corporate Debenture,0,-0.86
MBLD87,Corporate Debenture,0,-0.86
NBLD87,Corporate Debenture,0,-0.86
NIBD84,Corporate Debenture,0,-0.17
RBBD83,Corporate Debenture,0,-0.17
SBD87,Corporate Debenture,0,0.0
SBLD84,Corporate Debenture,0,0.0
PBD85,Corporate Debenture,0,0.0
KSBBLD87,Corporate Debenture,0,0.0
NICAD8182,Corporate Debenture,0,0.0
MFLD85,Corporate Debenture,0,0.2
NCCD86,Corporate Debenture,0,-1.0
ACLBSL,Microfinance,3928654470,-1.44
AKBSL,Microfinance,553350000,-1.44
ADBL,Commercial Banks,55257364688,-0.71
AIL,Non Life Insurance,6861000000,-1.72
AKJCL,Hydro Power,2288000000,2.14
API,Hydro Power,13160027412,0.42
AMFI,Microfinance,340824120,0.42
AKPL,Hydro Power,9535781970,-0.04
AHPC,Hydro Power,7783177500,1.12
AVU,Manufacturing And Processing,0,1.12
ALBSL,Microfinance,4875144400,-3.18
ALICL,Life Insurance,23523890599,-0.86
BOKL,Commercial Banks,29959661952,-3.09
BARUN,Hydro Power,1261844325,0.21
BFC,Finance,3813003480,0.88
BHBL,Development Banks,998184398,0.88
BSL,Manufacturing And Processing,0,0.88
BBC,Tradings,2556262800,4.04
BNL,Manufacturing And Processing,3710485959,4.04
BNT,Manufacturing And Processing,19299500000,-1.32
BPCL,Hydro Power,13797610550,0.24
BSM,Manufacturing And Processing,0,0.24
CMB,Finance,1309097300,0.24
CHDC,Investment,7109802700,-2.31
CFCL,Finance,4070676324,-2.5
CCBL,Commercial Banks,22642765752,-2.51
CGH,Hotels,22152274040,-2.37
CBBL,Microfinance,29169779100,-2.25
CHL,Hydro Power,1599407775,5.49
CHCL,Hydro Power,33083792560,-2.97
CZBIL,Commercial Banks,41623055087,-2.95
CIT,Investment,106010142967,-2.65
CMF1,Mutual Fund,787200000,0.31
CMF2,Mutual Fund,546000000,-0.61
CEFL,Finance,404505000,-0.61
CBL,Commercial Banks,22526244808,-2.24
CLBSL,Microfinance,2996494800,-4.15
CORBL,Development Banks,1840000000,-1.6
CFL,Finance,81900000,-1.6
DDBL,Microfinance,16649980800,-2.52
DHPL,Hydro Power,739464000,1.12
EBL,Commercial Banks,56281219800,-2.93
EBLCP,Preferred Stock,1196000000,-2.93
EIC,Non Life Insurance,7811789040,-1.05
EDBL,Development Banks,6160937012,-0.94
FMDBL,Microfinance,8294633780,-4.32
FHL,Manufacturing And Processing,0,-4.32
FOWAD,Microfinance,17395692660,-1.9
GMFBS,Microfinance,1883823678,-3.57
GDBL,Development Banks,5527498593,-3.57
GBBL,Development Banks,20401314930,-1.6
GIC,Non Life Insurance,6090000000,-1.93
GHL,Hydro Power,1760000000,1.59
GGBSL,Microfinance,229287500,1.59
GBIME,Commercial Banks,76170207273,-1.81
GBILD86/87,Corporate Debenture,0,-1.81
GILB,Microfinance,9112199206,-2.14
GIMES1,Mutual Fund,1072000000,-0.09
GFCL,Finance,5582079680,-0.67
GRU,Manufacturing And Processing,145669200,-0.67
GBLBS,Microfinance,9333750000,-3.2
GRDBL,Development Banks,1811310000,-0.29
GLH,Hydro Power,7288200000,1.48
GMFIL,Finance,4319136000,1.19
